Year,Total_Posts,Growth_Arc_Posts,Growth_Arc_Percentage
2018,3,1,33.3
2019,20,6,30.0
2020,10,4,40.0
2021,31,1,3.2
2022,297,33,11.1
2023,568,80,14.1
2024,2362,386,16.3
2025,3899,747,19.2
2026,933,203,21.8
